id,classe,requisito,codigo,tipo_evidencia,fonte,localizacao,enunciado,hipoteses,argumento_aplicavel,estado
E-K4-pos,K4,critério de positividade,—,fonte,Conrey-Li arXiv:math/9812166v1,p. 2 (Teorema 1); p. 6; p. 7,"Condição de positividade de de Branges implica zeros de E em Im z=−½; falha para E(z)=ξ(1−iz); para W=1/ξ(1−iz) falha via Re{ξ(1+282i)/ξ(2+282i)}=−0,000131957<0","E sem zeros reais, Hermite-Biehler, simetria Ē(z̄)=εE(z−i), monotonicidade em y",segundo exemplo usa cálculo numérico (Mathematica),conferido
E-K5-M1,K5a,M1,S,fonte secundária rigorosa,Marklof arXiv:math/0407288,p. 24,"Em superfície compacta, −Δ tem espectro discreto 0=λ₀<λ₁≤…→∞ com autofunções formando base ortonormal de L²(Γ\ℍ²)",M compacta,"operador definido pela geometria, sem zeros; diagonal em base ortonormal com autovalores reais ⇒ auto-adjunto no domínio maximal correspondente",conferido; primária (Selberg/Hejhal) não lida
E-K5-M3,K5a,M3,V,derivação sobre fonte,Marklof arXiv:math/0407288; plano §2.1 (M3),p. 26 (Prop. 10),N(λ) ~ Area(M)λ/4π (Prop. 10); contagem de Riemann-von Mangoldt N_ζ(E) ~ (E/2π)log(E/2π),M compacta; identificação afim ρ_j=γ_j ou λ_j=γ_j para todos os j; E→∞,"Comparação de CONTAGENS (sem derivar): se ρ_j=γ_j, #{ρ_j≤E}=N(¼+E²) ~ Area E²/4π; se λ_j=γ_j, ~ Area E/4π. Em ambos os casos a razão com N_ζ(E) não tende a 1 quando E→∞. ESCOPO: incompatibilidade assintótica global, sob as identificações afins declaradas; NÃO estabelece violação de tolerâncias numéricas numa faixa finita de alturas.",derivação escrita
E-K5-M2,K5a,M2,V,derivação,E-K5-M3,—,Espectro ≠ zeros sob identificação afim,idem,"M2 implica M3 (plano §2.1); M3 violado assintoticamente ⇒ M2 violado. ESCOPO: global, identificações afins",derivação escrita
E-K5-M5,K5a,M5,S,fonte secundária rigorosa,Marklof arXiv:math/0407288,p. 12 (H2); p. 25 (Teorema 4),λ=¼+ρ² determina ρ a menos de sinal; a fórmula usa h par,"(H1),(H2),(H3*)",simetria ρ↔−ρ embutida,conferido
E-K5-N1,K5a,N1,PC,retirada (revisão 11.3b),E-K5-M3,—,(RETIRADO) V em N1 derivado de densidades locais,identificação afim,"Retirado: (i) a diferença assintótica de contagens não demonstra violação da tolerância de N1 na faixa finita do projeto; (ii) o argumento diferenciava uma equivalência assintótica de uma função em degraus, passagem não justificada. Para V seria preciso estimativa quantitativa com erro controlado na faixa relevante (p.ex. Weyl com resto explícito para a superfície concreta) ou experimento específico",retirada; N1 = PC
E-K5-TF,K5a,"fórmula de traço (M4,N3 PC)",—,fonte secundária rigorosa,Marklof arXiv:math/0407288,p. 25 (Teorema 4); p. 12-13,Σh(ρ_j)=(Area/4π)∫h tanh(πρ)ρdρ + Σ_γ Σ_n ℓ_γ g(nℓ_γ)/(2 sinh(nℓ_γ/2)); g(t)=(1/2π)∫h e^{−iρt},"(H1) σ>½, (H2), (H3*); compacta",coeficientes positivos contendo ℓ_γ; comparação quantitativa com Weil depende de L-EF1,conferido
E-K6-M4,K6,M4,P,fonte,Berry-Keating 1999 SIAM Rev. 41,p. 241; p. 243 (eq. 2.17),"Fórmula de Gutzwiller assintótica (exata só em Selberg); discordâncias: exponencial exato nos zeros vs aproximação; sinal negativo exigiria Maslov π para todas as órbitas, difícil de entender com repetições",ħ→0,analogia com discordâncias escritas,conferido
E-K6-N4,K6,N4,C,fonte,Berry-Keating 1999 SIAM Rev. 41,p. 242,Dinâmica sem simetria de reversão temporal na analogia (evitar degenerescência de ações),T5 conjectural,—,conferido
E-K12-M1,K12,M1,V,definição,—,—,H é definido a partir dos zeros,—,viola a exigência de definição sem os zeros,elementar
E-K12-M2,K12,M2;M3;M4,V,derivação,—,—,Espectro finito,N finito,conjunto finito ≠ conjunto infinito de zeros; N(E) constante para E>γ_N; Σ_{j≤N}h(γ_j) difere da soma completa para h genérica,elementar
E-K12-M5,K12,M5,S,definição,—,—,Restrição explícita a γ>0,—,por construção da diagonal,elementar
E-K12-N,K12,N1;N2;N3;N4,S,derivação,—,—,"Com N≥100.000 níveis inseridos com a precisão do dado, a cadeia m4-v3 recebe entrada idêntica",N≥100.000; mesma precisão,cadeia determinística sobre a mesma sequência; sem valor explicativo,elementar
E-LEF1-W,fórmula explícita,L-EF1,derivacao,derivação sobre fonte secundária,Connes arXiv:math/9811068v1 (Apêndice II),p. 68 eqs. 2–3; p. 69 eqs. 4–9; p. 70 Teorema 1 (Weil); p. 71 eqs. 18–21; p. 78–79 normalização de Haar,"S(X,F)=Σ_ρ N(X,ρ)Φ(ρ) = Δ(F(|w|)X(w)); Δ = log|d⁻¹|δ₁ + D − Σ_v D_v","F(ν)=O(ν^b) em 0 e O(ν^{−b}) em ∞, b>½ (como registrado por Connes; regularidade adicional de Weil não conferida)","com F(e^x)=g(x): Φ(½+iγ)=h(γ); ⟨D,F⟩=h(i/2)+h(−i/2); D_p = 2 log p Σ_m p^{−m/2} g(m log p) ⇒ termo primo −2ΣΛ(n)n^{−1/2}g(log n). Termo arquimediano não derivado",derivação escrita (11.3b §1.2)
E-LEF1-NUM,fórmula explícita,L-EF1,B,verificação numérica,results/etapa11_3b/check_explicit_formula.py/.json; data/processed/zeros_10k.csv (SHA-256 703218b4…),—,"forma §3.1: resíduo dentro do orçamento de erro estimado (E_ord, caudas de zeros e primos, quadratura) em 5 funções-teste gaussianas; constantes alternativas ficam fora","zeros usados críticos (verificação externa, citação PC); cauda desprezível; primos até 5000",checagem de consistência; orçamento não certificado (precisão declarada das ordenadas; cota de contagem PC em E_z2; quadratura estimada); não demonstra classe de funções-teste,classe B (revisão 11.3b-2)
E-C02,K3b / C02,C02,derivacao,derivação sobre fonte secundária,Connes arXiv:math/9811068v1,p. 69 eqs. 8–9; p. 78 eq. 4; p. 79 eq. 8; p. 72–73 Lema 2,Pfw∫_{ℚ_p*}F(|u|)|u|^{1/2}|1−u|^{-1}d*u = log p Σ_{m≥1} p^{−m/2}[F(p^m)+F(p^{−m})],F dependente só de |u|; caractere trivial; normalização de grupos modulados,camadas p^nℤ_p* com massa log p; |1−u|=1 para |u|<1 e =|u| para |u|>1; camada unitária anulada por Pfw (eq. 9),derivação escrita (11.3b §3)
E-NT,contagem,M3; L-EF2a,conferido-secundaria,fonte secundária com ressalva,Berry-Keating 1999 SIAM Rev. 41 (cópia arquivada),p. 239 eqs. 2.1–2.5 (conferido visualmente),"N(t)=θ(t)/π+1+N_fl(t), N_fl=(1/π)lim Im log ζ(½+it+ε); ⟨d⟩=(1/2π)log(t/2π)+O(1/t²)",texto: 'for the t_n (assumed real)',base da identidade de Stieltjes (11.3b §2.2a) e de d̄_rvm; versão incondicional (Titchmarsh cap. 9) PC,conferido-secundaria; incondicional PC
E-TAB-COMPL,dados,L-EF2a,B,verificação numérica,results/etapa11_3b/check_table_completeness.py/.json; data/processed/zeros_100k.csv (SHA-256 1af728cf…),—,"30 blocos m4: #tabela em [A,B] = N(B+1e-6) − N(A−1e-6) (mpmath.nzeros) e N(A−1e-6) = índice da tabela",nzeros em ponto flutuante (não certificado),"identifica a soma sobre todas as ordenadas com a soma da tabela, junto com criticidade/simplicidade (PC)",classe B
E-DENS-INT,instrumento,L-EF2a,B,estimativa numérica (não certificada),results/etapa11_3b/density_error_bound.py/.json,—,"|∫ f_t (θ′/π − d̄_rvm)| ≤ sup|Δ|·L/2 ≤ 8,6e-8 (30 blocos)",sup tomado nas bordas; Δ avaliado em mpmath sem controle rigoroso de erro nem da maximização,∫w = L/2; |e_t|=1,classe B (estimativa); cota certificada em E-DENS-CERT
E-LEF2B,instrumento,L-EF2b,derivacao,derivação,docs/ETAPA11_3B_FORMULA_EXPLICITA.md §2.2(b),—,F_w(t) = Σ_n (c(n)/2)e^{−ε²(log n)²/2}[e^{iE_c log n}W(t−log n)+e^{−iE_c log n}W(t+log n)] + R_ε + ∫f_tΔ + erro de ordenadas,"L-EF1 (classe de funções-teste PC); criticidade até H₀ (Platt–Trudgian, PC); cota de contagem N(T) ≤ T² (PC); tabela completa (B)","simetrização k_t com divisão por 2; restos R_zeros, R_suave, R_polos, R_longe com prefatores",derivação escrita; L-EF2c aberta
E-DENS-CERT,instrumento,L-EF2a,derivacao-certificada,cota analítica + aritmética intervalar,DLMF §5.11(ii) e eq. 5.11.2 (HTML arquivado dlmf_5.11.html); results/etapa11_3b/density_error_certified.py/.json,"DLMF 5.11(ii), parágrafo sobre restos de (5.11.1)–(5.11.2)","|θ′/π − d̄_rvm|(E) ≤ C/E², C ≤ 0,24953; ∫w|Δ| ≤ C(L/2)/A² ≤ 3,2e-6 (30 blocos)","cota de resto da DLMF para z complexo (sec^{2n+1}(½ph z) × primeiro termo desprezado), n = 1; ℜz = ¼ > 0","ln|z|−ln(E/2) ∈ [0,1/(8E²)]; ℜ(1/(2z)) ≤ 1/(2E²); |ℜR| ≤ (2√2/3)/E²; intervalos em mpmath.iv",certificado módulo DLMF; extremos exportados arredondados para cima (revisão 11.3b-6)
E-LEF1-ARCH,fórmula explícita,L-EF1 (termo arquimediano); H2,derivacao,derivação analítica sobre fontes arquivadas (Connes secundária a Weil; DLMF),"Connes arXiv:math/9811068v1 App. II; DLMF §5.9 (dlmf_5.9.html, SHA-256 778124f0…); docs/ETAPA11_3B_TERMO_ARQUIMEDIANO.md","Connes p. 68 eq. 3; p. 69 eqs. 4–5, 8, 10; p. 70 eq. 11 e Teorema 1; p. 73 eq. 31 (média de fibra); p. 78 eqs. 2–6. DLMF eq. 5.9.12. Eqs. 8–11, 31 e p. 78 conferidas visualmente","−D_∞(F) = −g(0) log π + (1/2π)∫h(r) Re ψ(1/4+ir/2) dr, com F(e^x)=g(x)","(G1) h par, ∫|h|(1+r²)<∞; (G2) g=(1/2π)∫h e^{−iru}; (G3) g∈L¹. Para aplicar o Teorema 1: (G4) g=O(e^{−b|x|}), b>½, e o que F5 exigir",fibra {±1} com massa ½ (p. 78); c=g(0)/2; ψ−cf₁⁻¹∈L¹; Frullani ∫(1−e^{−tx})e^{−2x}/x=log((t+2)/2); convergência dominada; D_∞=g(0)logπ−T[g]; Fubini com majorante C(1+r²) em DLMF 5.9.12 dá T[g]=(1/2π)∫h Re ψ,"derivação escrita; passos checados numericamente (B: P1 = Connes (31), P2, P3); aplicabilidade a 𝒢 depende de F5"
E-LEF1-ADM,fórmula explícita,L-EF1 (classe de funções-teste); L-EF2b,derivacao,derivação por aproximação sobre fonte secundária,Connes arXiv:math/9811068v1 App. II; DLMF 25.2.12 (dlmf_25.2.html); docs/ETAPA11_3B_ADMISSIBILIDADE.md,"Connes p. 68 eq. 2; p. 70–71 eqs. 12–21; p. 76–77 Lema 3 e eq. 58; p. 77–78 Teorema 6 (h ∈ 𝒮(C_k) com suporte compacto); DLMF 25.2.12 (produto sobre zeros; fonte Titchmarsh (2.12.6),(2.12.8))","forma de referência §3.1 vale, com soma sobre zeros absolutamente convergente, para g ∈ 𝒜: g par C^∞, e^{|x|/2}|g^{(j)}| ∈ L¹ (j≤4), |g| ≤ Ce^{−b|x|}, b>½","Teorema 6 + Lema 3 de Connes (conferidos visualmente p. 70–71, 76–78; pendência bibliográfica F5 = Weil original); Z1 derivado (E-Z1-COUNT); normalização de Haar/fibra (H2)","truncamento g_n = gχ(·/n) ∈ C_c^∞; convergência dominada termo a termo: primos (A2), polos (A1), arquimediano (H2 + A1), zeros (|h_n(t+iy)| ≤ M/(1+t²) uniforme por duas integrações por partes + Z1). Gaussianas e h_ε (ε>0) ∈ 𝒜; Hann sem suavização ∉ 𝒜","derivação escrita; pendências só bibliográficas (F5, J1)"
E-Z1-COUNT,contagem de zeros,Z1 (F8); uso de F3 em L-EF2b R_longe e E_z2,derivacao,derivação com constantes explícitas (aritmética intervalar),"DLMF §25.2 (dlmf_25.2.html, v1.2.7): eqs. 25.2.1, 25.2.10; fórmula de Jensen (teorema clássico, fonte não arquivada: J1); docs/ETAPA11_3B_Z1_CONTAGEM.md; results/etapa11_3b/zero_count_bound.py/.json",DLMF 25.2.1 e 25.2.10,"para T≥5: N(T+1)−N(T−1) ≤ 10,5 log(T+8); N(5) ≤ 31; N(T) ≤ 31 + 5,25 T log(T+9); N(T) ≤ T² para T≥7·10⁴; Σ_ρ 1/(1+t²) ≤ 101","nenhuma hipótese sobre os zeros (sem RH); Jensen com f=ζ (disco centro 2+iT, R=3, r=9/4) e f=(s−1)ζ (centro 2+2,5i, R=9/2, r=13/4)","|ζ(2+it)| ≥ 1/4; |B̃₃| ≤ √3/36; cota de |ζ| por 25.2.10 (n=1 e n=2); Jensen; cobertura por janelas de altura 2; soma diádica; certificado intervalar com cauda analítica k≥260 (≤ 2,07e-75) incluída; extremos exportados arredondados para fora (revisão 11.3b-6)",derivação escrita; pendência bibliográfica J1
E-H1-S3B,instrumento,H1 (S3b),derivacao,consequência da identidade suavizada,docs/ETAPA11_3B_H1_R5_ESTIMADOR.md §2.1; ETAPA11_3B_FORMULA_EXPLICITA §2.2(b),—,"|F*(t) − M_ε(t)| ≤ Kε² para 0<ε≤ε₀ (ε₀≤1/10), K=K(A,L,ε₀) independente de t∈I e ε; blocos fixos","F1 (criticidade até H₀); admissibilidade de h_ε ∈ 𝒜; cota de contagem derivada; F5, J1 bibliográficas; tabela completa (B) para F* = soma da tabela","identidade (b) com lado esquerdo independente de ε; zeros em vizinhança fixa V=[A−1,B+1] (contagem finita, cota (ε²/2)M₂*N_V); zeros fora de V por decaimento gaussiano com contagem local derivada; R_suave com sup|θ‴| finito via DLMF 5.9.12; polos e zeros distantes por sup ε^{-3}e^{-c/ε²}<∞","derivação condicional (F1; F5, J1 bibliográficas); constantes K_i não avaliadas; não implica S1, S3a, S3c"
E-R5,instrumento,"H1 (R5, S2)",derivacao,álgebra linear exata do estimador direcionado,docs/ETAPA11_3B_H1_R5_ESTIMADOR.md §3; src/riemann_spectra/arithmetic.py targeted_joint_fit (include_conjugate),—,"θ̂−θ*=M⁺ρ (estimador primário band_conjugate); S2-ratio (implementado, Re Ĉ_k/c_k) ⇔ |e_{x_k}ᵀM⁺ρ| ≤ τ|c_k|; S2-complexo (extensão) ⇔ |(e_{x_k}+ie_{y_k})ᵀM⁺ρ| ≤ τ|c_k|; C2 completo inclui elegibilidade (nulos), fração ≥0,95 e Q (fase via F na grade)",M de posto coluna completo; coeficientes teóricos reais,exatidão de M⁺ em im M; linearidade; decomposição por definição,formalizado; cálculo futuro por SVD/QR com posto/tolerância e U finito declarado
E-R5-CALC,instrumento,"H1 (R5, S2-ratio′)",B,cálculo finito em ponto flutuante sob declaração prévia,"results/etapa11_r5/DECLARACAO.md (SHA-256 e8d681cb…), r5_calculo.py, r5_resultados.json",—,"30 blocos: M 846×94 de posto completo, cond 1,001–1,025, ‖e_xᵀM⁺‖₁ 1,95e-3–3,54e-3; contaminação projetada máx 2,8e-6·|c_k| (linha 2^7), > τ=1e-6 em 14 blocos, estável em U∈[5,5;10]",sem dados de zeros; E_c e L de metrics.json; FWHM recalculada com código m4-v3,SVD truncada ao posto; contaminação ρ_lin(U) = Σ_{5<log n≤U} c(n)ℓ_n nos pontos de banda,classe B; ε^lin é parte de divisão artificial (ε^lin+ε^trunc independe de U); sem veredito sobre C2; cruzamento com elegibilidade não declarado
E-R5-CRUZ,instrumento,H1 (R5); relação com C2,B,cruzamento descritivo exploratório sob declaração prévia,"results/etapa11_r5/DECLARACAO_CRUZAMENTO.md (SHA-256 c8580015…), cruzamento.py, cruzamento_tabela.csv, cruzamento_resumo.json; arithmetic_matches.csv e metrics.json de m4 (leitura)",—,"elegíveis (461 pares): |e_lin| ≤ 1,0e-9, |e_rec| ≤ 2,6e-9, |d| ≤ 2,6e-9; não elegíveis (949): 20 pares com |e_lin| > τ (2^7, 137, 139; margens 0,09–0,65), com |e_rec| > τ e mesmo sinal, |d| ≤ 1,3e-8","estimador primário band_conjugate; U ∈ {5,5;6;7;8;10}; FWHM recalculada com código m4-v3","d(U)=e_rec−e_lin(U) é resíduo após subtração da contaminação calculada (inclui truncamento acima de U, ordenadas, densidade, numérico); sem teste de significância","exploratório; não altera C1–C3; não valida S2-ratio′; estabilidade só em U∈[5,5;10]"
E-QK,instrumento,H1 (Lema de Cauda Projetada; Rota A),derivacao,derivação analítica + conferência numérica de identidades (B),docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md Parte II; src/riemann_spectra/periods.py (window_response),—,"W_Hann(ω) = −(L/2π) sin(πv)/(v(v²−1)); a_k·ℓ_n = δ_kn para n∈𝒦; Q_k(u) = Re{e^{iAu}Ψ_{k,A}(u) − e^{iBu}Ψ_{k,B}(u)} com |Ψ| ≤ (4π²/L²)‖a_k‖₁(u−t_max)^{-3} para U−t_max ≥ √2·2π/L (separação válida só na região da cauda; R tem polos em 0, ±1); cauda = somas de Chebyshev torcidas com τ∈{A,B}",estimador band_conjugate de posto completo; u ≥ U > t_max + 2π/L,"forma fechada via sinc(v±1); expansão 1/(v(v²−1)) = Σ v^{-(2m+1)}; E_c ∓ L/2 = A, B; conferências: forma fechada ≤1,1e-16·W0, δ_kn ≤2,8e-15, picos espectrais de Q_k perto de A e B (d01, linha 2^7)","derivação escrita; bordas registradas × ideais com desajuste η e fator regularizado (e^{iη log x}−1)/(iη); cota-alvo uniforme em ε e η formulada (§II.6), não demonstrada; B_main derivada (E-QK-MAIN); multiplicidade por pesos m_ρ, sem F2; soma sobre zeros depende de F11 e RH"
E-QK-MAIN,instrumento,H1 (Lema de Cauda Projetada: B_main),derivacao,derivação analítica (deslocamento de contorno),docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.7,—,"|∫_U^∞ e^{(1/2+iν)u}w_ε(u)Ψ_{k,ν}(u)du| ≤ 2|κ|‖a_k‖₁[4e^{U/2}/(ν(λ(U−t_max))³) + 2√(2π)(λν)^{-3}ε₀⁵e^{−(ν²−1/4)/(2ε₀²)}], uniforme em 0<ε≤ε₀; ordem de grandeza B_main/min|c_k| ≈ 4e-8 nas faixas m4 (≈25 vezes menor que τ_C2=1e-6; estimativa numérica)","U−t_max ≥ √2·2π/L; ν>½ (frequência de borda ν ∈ {A,B}); polos de Ψ reais e <U; estimador de posto completo","Cauchy no retângulo [U,X]×[0,τ/ε²]; |R(v)|≤2|v|^{-3} para |v|≥√2 complexo; vertical: e^{−τy+ε²y²/2}≤e^{−τy/2}; horizontal: completamento de quadrado dá e^{−(τ²−1/4)/(2ε²)}",derivação escrita; independente de RH e dos zeros; B_zeros e B_err abertos
E-QK-REP,instrumento,H1 (representação de S_ν − M_ν),proposta,formulação com esboços de cota,docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.8,—,"R-EF-χ: cauda suave projetada = −(1/π)Re[P_A − P_B], P_ν = lado primo da forma de referência com g_ν = χ w_ε Ψ_{k,ν} e^{iνu} ∈ 𝒜; sem truncamento em altura; componentes: polos, arquimediano, zeros (≤H₀ críticos por F1; >H₀ sob RH ou com dependência residual em ε)","identidade: só admissibilidade em 𝒜 (Connes Teorema 6, Lema 3; F5 e J1 bibliográficas), válida para cada ε>0 com todos os zeros (γ complexo incluído); F1/RH só nas estimativas uniformes","na forma de Stieltjes a contribuição de cada zero é integral oscilatória limitada (sem 1/η); duas integrações por partes dão min(1,η⁻²); contagem local derivada","representação fixada; majorante sem RH não controla ε pequeno (limite da majorante, não da contribuição real); B_lin,χ não monótona em U₂ salvo majorante absoluta"
E-QK-PRH,instrumento,H1 (Lema de Cauda Projetada; cauda suave sob RH),derivacao-condicional,proposição com constantes simbólicas,docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.9; DLMF 25.2.3 (ζ(½)<0),—,"P-RH: |a_k·Σ χ(log n)w_ε c(n)ℓ_n| ≤ (1/π)Σ_ν ½[Z_ν + 2Pol_ν + Arq], uniforme em 0<ε≤ε₀; L₀=C_Ψ/(2d₁²), L₂ explícito; |h_ν(γ)| ≤ min(L₀,L₂/(ν+γ)²)+min(L₀,L₂/(ν−γ)²)","RH; admissibilidade 𝒜 (F5, J1 bibliográficas); contagem local derivada; ν≥9; U₁−t_max≥√2·2π/L; família χ=ϕ((u−U₁)/Δ)","Lema 1 (|R′|≤12|v|⁻⁴, |R″|≤192|v|⁻⁵); Lema 2 (expansão de G″ termo a termo); Lema 3 (duas integrações por partes); Lema 4 (partição em janelas de altura 2, S₁≤3/2, S₂≤2√2); Lema 5 (polos via §II.7 a partir de U₂; arquimediano via K≤…e^{−U₁/2})",derivação condicional escrita; constantes não avaliadas; utilidade para τ_C2 é verificação posterior; H1 aberta
E-QK-PRH-FORCA,instrumento,H1 (utilidade quantitativa de P-RH),B,avaliação da cota sob declaração prévia,"results/etapa11_r5/DECLARACAO_PRH.md (SHA-256 7bc392fa…), prh_forca.py, prh_forca_tabela.csv, prh_forca_resumo.json",—,"c1≤2,000982, c2≤9,854620; mínimo sobre a grade (sempre d₁=8, Δ=1): B/|c_k| ≤ τ_C2 em 15/1410 pares (todos elegíveis, m4-v1); elegíveis: mediana 1,78e-6, máx 3,07e-6; todas: máx 2,6e-5","RH; F5, J1 bibliográficas; a_k em ponto flutuante (cond ≤ 1,025); grade declarada d₁∈{1,2,4,8}, Δ∈{0,5;1;2}, ε₀=0,1",fórmulas de §II.9 avaliadas em aritmética intervalar,"avaliação híbrida (‖a_k‖₁ em ponto flutuante, não certificada): 15/1410 pares com majorante calculada abaixo de 1e-6 (não 'certificados'); melhor valor na borda da grade, não ótimo; não é refutação"
E-QK-PRH2,instrumento,H1 (P-RH com Lema 5′),derivacao + B-hibrido,lema de polos por oscilação + reavaliação sob declaração prévia,"docs/ETAPA11_3B_H1_CAUDA_PROJETADA.md §II.11–§II.12; results/etapa11_r5/DECLARACAO_PRH2.md (SHA-256 21a2bff3…), prh2_forca.py, prh2_forca_tabela.csv, prh2_forca_resumo.json",—,"Lema 5′: |∫_{U₁}^{U₂}F e^{zu}| ≤ e^{U₂/2}[C_Ψ s₂⁻³/ν + (ε₀²U₂C_Ψs₂⁻³ + 6C_Ψs₂⁻⁴ + L₂)/ν²]; reavaliação: polos ≤ 2,5e-10·|c_k|; melhor valor da grade (8,2): elegíveis 361/461 com majorante < 1e-6 (máx 1,43e-6, mediana 8,2e-7); todas 559/1410","RH; F5, J1 bibliográficas; χ plana em U₁, χ(U₂)=1, χ′(U₂)=0; mesma grade e c₁, c₂","duas integrações por partes contra e^{zu}, |z|≥ν; ∫|F″|≤L₂","lema derivado; avaliação híbrida; não certifica S2-ratio′ (só cauda suave; passagem para o truncamento escolhido pendente); melhor valor no canto da grade, não ótimo; zeros dominam"
