id,tema,objeto_aritmetico,objeto_dinamico,papel_hipotetico,formula_aritmetica,formula_dinamica,variavel_normalizacao,natureza,classes,fonte_localizacao,hipoteses,conferencia,lacuna
C11,sinal negativo ↔ absorção / H¹ (Connes),sinal global −,"função: ação de Frobenius em H¹_et(Σ̄,Q_ℓ) (característica p > 0); ℚ: não especificado",espaço de Pólya–Hilbert 'aparecendo pelo seu negativo ⊖H' (Connes (C)),−(1/π)Σ_p Σ_m p^{−m/2} m^{−1} sin(mE log p) (Connes p. 6 (7)),"Σ_j (−1)^j Trace(φ*|H^j) (fórmula de Lefschetz, Connes p. 8 (3)); H¹ com sinal −",coeficientes ℓ-ádicos (ℓ ≠ p),"identidade demonstrada (corpos de funções, via geometria algébrica; fonte primária Weil não lida) + analogia (ℚ)","K3a, K3b","Connes p. 7–8 (dicionário II (1), Lefschetz (3), princípio (C))",k de característica positiva: curva não singular sobre F_q,conferido-secundaria,"para ℚ, 'espectro de absorção' é interpretação; tradução para N não especificada (matriz K3b)"
C12,sinal positivo (Selberg),—,termos geométricos de Selberg com coeficientes positivos,—,—,+ Σ_γ Σ_n ℓ_γ g(nℓ_γ)/(2 sinh(nℓ_γ/2)),g como em C09,identidade demonstrada (para a superfície),K5a,Marklof p. 25 (Teorema 4),"(H1),(H2),(H3*); compacta",conferido,"sinal oposto ao da fórmula explícita (comparação quantitativa: C09, PC)"
C13,reversão temporal ↔ contagem única das órbitas,prefator 1/π em (2.6),não especificado,dinâmica sem simetria de reversão temporal,1/π,"com reversão temporal, órbitas não autorretraçantes contribuiriam em pares: prefator 2/π",—,analogia,K6; K5a (geodésicos têm reversão),BK p. 242 ('the dynamics does not possess time-reversal symmetry… prefactor… 2/π rather than 1/π'); Connes p. 7 (B) e 'This last point excludes in particular the geodesic flows',—,conferido,"relação com N4 (estatística tipo GUE) é compatibilidade empírica ao procedimento, não identificação; universalidade (T5) conjectural"
C14,termo suave ↔ volume de fase,N̄(E) = (E/2π)(log(E/2π) − 1) + 7/8 + o(1),"não especificado (xp regularizado é contagem semiclássica, não operador)",volume de fase Ω(E)/h^D,N̄(E) de Riemann–von Mangoldt (Stirling; Connes p. 4 (2)),⟨N(E)⟩ ≈ Ω(E)/h^D (BK (2.19)); xp truncado reproduz N̄ incluindo 7/8 (BK p. 261); Connes: mesma contagem com sinal − relativo a (4E/2π)log Λ (p. 47–48),ħ=1; células de área 2π,aproximação heurística (semiclássica),K1; K3b,"BK p. 243 (2.19), p. 261; Connes p. 4, p. 47–48",regularização por truncamento em X e P (BK); corte Λ e funções pares (Connes),conferido,"a regularização não define operador com espectro discreto ('closing the phase space… is a central unsolved problem', BK p. 261)"
C15,proliferação de órbitas ↔ teorema dos números primos,π(x) ~ x/log x,não especificado,densidade de órbitas ρ(T) ~ e^{λT}/T com entropia topológica λ = 1,PNT (BK (1.2)),ρ(T) ~ exp(λT)/T (BK (3.1)); regra de soma de Hannay–Ozorio de Almeida (3.2),T = log p,analogia,K6,BK p. 244 (3.1)–(3.2),sistemas caóticos ergódicos,conferido,"consistência, não derivação; nenhum sistema"
C16,produto de Euler ↔ determinante espectral,ζ(s) = Π_p (1 − p^{−s})^{−1},não especificado,determinante espectral semiclássico Δ(E) como produto sobre órbitas,Π_p (1 − p^{−s})^{−1} (fora da região de convergência na faixa crítica),Δ(E) ~ B(E) e^{−iπ⟨N⟩} Π_p exp{−Σ_m e^{imS_p/ħ}/(m√|det(M_p^m−I)|)} (BK (5.16)),Maslov absorvido em S,"analogia; estatutos distintos: produto de Euler = identidade convergente para ℜs>1 (DLMF 25.2.11), cujo uso direto na linha crítica exige outro tratamento; expressão dinâmica = aproximação semiclássica (ħ→0) de convergência não garantida",K6,"DLMF §25.2(iv), eq. 25.2.11 (ℜs>1) [HTML arquivado]; BK p. 240 (2.6: 'disregarding the fact that this does not converge in the critical strip… divergent but formally exact') e p. 257 (5.14)–(5.16)","produto de Euler: ℜs>1; determinante semiclássico: ħ→0, sistemas caóticos",conferido,"continuação à faixa crítica do lado aritmético exige outro tratamento (não o produto); expansões semiclássicas divergentes; ressomação (Riemann–Siegel ↔ pseudo-órbitas, BK §5) é heurística"
C17,zeros ↔ autovalores (Hilbert–Pólya),ordenadas γ dos zeros não triviais,não especificado (nenhum operador satisfaz M1+M2 demonstrado; matriz §síntese),—,{γ : ζ(½+iγ)=0},Sp(H) com H auto-adjunto,E = γ,não especificado,todas,plano §2.1 (M1–M2); matriz,—,NA,lacuna central; as 15 entradas que sustentam decisão restringem-se a requisitos e identificações declarados
C18,"zeros críticos ↔ espectro de D_χ (Connes, δ>1)",partes imaginárias de zeros com Re = ½,gerador D_χ da ação de ℝ*₊ em H_χ (quociente de L²_δ); não é fluxo hamiltoniano,—,"L(χ̃, ½+ρ) = 0, ρ ∈ iℝ","Sp D_χ ⊂ iℝ, multiplicidade truncada por (1+δ)/2",ρ = iγ,identidade demonstrada (escopo: zeros críticos; multiplicidade truncada; W não unitária),K3a,"Connes p. 13 (Teorema 1), p. 14 (Corolário 2)",δ > 1 FIXADO; espaço H_χ depende de δ,conferido,"para o δ fixado, Sp D_χ reproduz todos os zeros com multiplicidade ⇔ (i) todos os zeros são críticos (RH) e (ii) cada multiplicidade satisfaz m_ρ < (1+δ)/2 (pelo truncamento do Teorema 1: multiplicidade espectral = maior n < (1+δ)/2 com n ≤ m_ρ). Um limite uniforme das multiplicidades permitiria ESCOLHER δ grande, mas não garante (ii) para um δ já fixado; nenhum limite é demonstrado (Connes p. 14: 'one expects'). Auto-adjunticidade não afirmada"
C19,autovalores de Frobenius ↔ zeros (corpos de funções),"zeros da função zeta de uma curva projetiva lisa X de gênero g sobre F_q, ζ_X(s) = Z(X, q^{−s})","ação de Frobenius em H¹_et; órbitas de Frobenius nos pontos de Σ̄ indexadas por lugares, 'periods… analogues of the log p'",—,"Z(X,T) = P_1(T)/((1−T)(1−qT)), P_1(T) = det(I − T F | H¹) = Π_{j=1}^{2g}(1 − α_j T); zeros em T = α_j^{−1}; com T = q^{−s}: q^{s} = α_j, isto é, s = log α_j/log q (mod 2πi/log q)","autovalores α_j de F em H¹_et(X̄, Q_ℓ); os ZEROS são α_j^{−1} na variável T, não os α_j; RH de Weil: |α_j| = q^{1/2} ⇔ ℜs = ½","F = Frobenius GEOMÉTRICO (conferido: Deligne 1974, p. 279, (1.15) F := φ⁻¹, φ a substituição de Frobenius, e (1.15.1) F* = F; Milne LEC §27, F o mapa de Frobenius de X); com Frobenius aritmético φ os autovalores se invertem; T = q^{−s}; ℓ ≠ p","identidade demonstrada (característica positiva; Grothendieck/Weil) + analogia (ℚ); transformação T=α^{−1}, T=q^{−s} explícita",K3 (motivação),"Connes p. 7–8 (dicionário: 'Eigenvalues of action of Frobenius on ℓ-adic cohomology'; Lefschetz (3)); Milne, Lectures on Étale Cohomology v2.21 (jmilne.org/math/CourseNotes/LEC.pdf, SHA-256 ac4f122f…): Teorema 27.6 (PDF p. 155) Z(X₀,t) = P₁⋯P_{2d−1}/(P₀⋯P_{2d}) com P_r(X,t) = det(1 − Ft | H^r(X,Q_ℓ)); Observação 27.7: P₀ = 1 − t, P_{2d} = 1 − q^d t; Teorema 27.15 (PDF p. 158): autovalores de F em H^r com valor absoluto q^{r/2}; Deligne, La conjecture de Weil I, PMIHÉS 43 (Numdam, SHA-256 8392b345…), p. 279: (1.14.3) e (1.15)","X projetiva, lisa, geometricamente conexa sobre F_q",conferido,"a identificação P₁ de grau 2g (Betti de curva) e |α_j| = q^{1/2} ⇔ ℜs = ½ são elementares a partir de 27.6, 27.7 e 27.15; não é fluxo; conjunto enumerável de órbitas (Connes p. 8); não se transfere a ℚ sem construção"
C20,xp: dilatação ↔ tempo,multiplicação por inteiro/primo K (x → Kx),"fluxo de dilatação X(t) = X(0)e^t, P(t)=P(0)e^{−t} do gerador xp",dilatação por p ↔ evolução por tempo log p,K = e^{t},(6.7)–(6.8): x^{−s} autofunções formais; dilatação por K = evolução por tempo log K,H = (XP+PX)/2 = −i(X d/dX + ½),identidade demonstrada (elementar) + analogia (primos),K1,"BK p. 260 (6.2), p. 261 (6.3)–(6.5), p. 262 (6.7)–(6.8) e 'integer dilations does not form a group'",L²(ℝ₊) sem regularização: espectro contínuo (evidência E-K1-M2),conferido,"sem órbitas fechadas: órbitas periódicas log p exigem compactificação/identificação não especificada ('The major problem remaining is to find boundary conditions', BK p. 262)"
